R,Vobs,Vgas,Vdisk,Vbulge
0.63,29.5,-2.22,32.45,0.0
1.26,50.8,-8.54,43.44,0.0
1.88,68.2,-2.13,53.72,0.0
2.51,84.3,8.88,65.57,0.0
3.13,95.3,11.55,69.99,0.0
3.77,106.0,16.04,70.54,0.0
4.39,112.0,20.82,71.78,0.0
5.02,115.0,24.3,71.41,0.0
5.65,116.0,25.4,67.79,0.0
6.28,116.0,24.6,64.52,0.0
6.9,116.0,25.5,61.11,0.0
7.54,114.0,25.7,56.38,0.0
8.16,112.0,24.6,53.17,0.0
8.79,109.0,24.9,50.65,0.0
9.41,107.0,27.79,48.55,0.0
