R,Vobs,Vgas,Vdisk,Vbulge
1.74,56.9,0.0,57.53,0.0
2.61,87.4,0.0,63.17,0.0
3.5,92.1,0.0,61.1,0.0
4.37,93.5,8.69,59.01,0.0
5.24,98.2,16.6,57.64,0.0
6.11,99.7,18.86,56.44,0.0
6.98,102.0,23.82,56.03,0.0
7.85,107.0,29.74,55.57,0.0
8.72,108.0,30.17,54.32,0.0
9.6,110.0,31.9,52.55,0.0
10.47,113.0,35.89,51.23,0.0
11.35,110.0,38.26,49.57,0.0
12.19,108.0,39.33,47.76,0.0
13.12,109.0,40.63,45.68,0.0
13.94,108.0,40.95,43.38,0.0
14.86,108.0,40.63,41.42,0.0
15.68,109.0,40.09,39.99,0.0
