R,Vobs,Vgas,Vdisk,Vbulge
0.87,47.8,3.06,22.47,153.43
1.74,98.9,12.07,39.91,217.64
2.61,146.0,14.22,54.38,259.32
3.5,164.0,13.58,67.47,273.94
4.37,174.0,15.41,76.15,256.31
5.24,175.0,20.15,86.2,236.55
6.11,184.0,23.71,98.08,219.32
6.98,185.0,21.44,106.18,205.28
7.85,188.0,24.46,114.52,193.65
8.72,190.0,27.91,106.83,183.73
9.6,191.0,30.71,97.81,175.09
10.47,191.0,32.87,91.79,167.63
11.35,189.0,33.95,87.56,161.03
12.19,186.0,32.87,84.33,155.43
13.12,183.0,32.44,81.01,149.82
13.94,179.0,31.36,78.12,145.35
14.86,177.0,30.5,75.23,140.78
15.79,177.0,31.36,72.41,136.57
16.72,178.0,33.41,69.87,132.72
