R,Vobs,Vgas,Vdisk,Vbulge
0.34,38.8,0.91,27.87,0.0
0.68,50.1,7.1,39.52,0.0
1.02,60.2,10.23,44.52,0.0
1.36,68.2,12.18,46.26,0.0
1.69,72.8,14.42,45.8,0.0
2.03,75.3,15.29,45.05,0.0
2.37,76.6,18.41,43.11,0.0
2.7,77.6,20.65,41.2,0.0
3.05,78.5,21.24,39.62,0.0
3.38,78.2,22.11,38.18,0.0
3.72,78.8,23.77,36.93,0.0
4.06,79.2,25.04,35.68,0.0
4.39,79.2,24.74,34.2,0.0
4.74,79.2,24.74,32.41,0.0
5.08,78.8,23.87,31.05,0.0
5.41,78.5,22.31,29.85,0.0
5.75,80.1,22.6,28.79,0.0
6.09,80.1,23.18,27.84,0.0
6.42,80.1,22.99,26.98,0.0
6.77,80.1,22.99,26.18,0.0
7.11,79.8,22.8,25.47,0.0
7.44,79.8,23.87,24.82,0.0
7.78,79.5,24.06,24.22,0.0
8.12,79.5,22.89,23.66,0.0
8.46,78.8,23.09,23.15,0.0
8.8,77.9,23.38,22.65,0.0
9.13,77.2,22.8,22.21,0.0
9.47,77.6,22.21,21.79,0.0
9.77,76.6,22.21,21.43,0.0
10.15,77.6,22.5,21.0,0.0
