R,Vobs,Vgas,Vdisk,Vbulge
3.23,194.0,-7.97,37.15,248.5
9.18,172.0,-15.63,83.53,176.71
10.64,170.0,-16.24,92.09,164.32
11.58,170.0,-16.14,99.29,157.52
12.52,171.0,-16.04,107.74,151.54
13.57,172.0,-16.04,120.8,145.51
15.76,174.0,-15.53,131.65,135.02
24.94,193.0,18.69,111.71,107.35
26.3,194.0,21.04,108.26,104.53
34.96,201.0,34.22,92.64,90.67
36.84,202.0,37.39,88.8,88.32
47.38,205.0,54.35,75.25,77.88
64.59,204.0,61.29,63.17,66.7
